==22360== NVPROF is profiling process 22360, command: /home/beatbat/.conda/envs/py37/bin/python -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=35, pipe_handle=98) --multiprocessing-fork
==22360== Profiling application: /home/beatbat/.conda/envs/py37/bin/python -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=35, pipe_handle=98) --multiprocessing-fork
==22360== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
66.9469s  2.2400us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        31  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [107867]
66.9469s  309.73us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        26  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [107713]
66.9469s  250.12us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        27  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [107746]
66.9469s  288.68us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        28  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [107780]
66.9469s  396.58us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        29  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [107815]
66.9471s  336.93us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        32  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [107926]
66.9471s  305.00us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        30  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [107851]
66.9472s  310.50us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        33  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [107965]
66.9472s  379.53us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        31  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [107888]
66.9472s     896ns                    -               -         -         -         -      128B  136.24MB/s    Pageable      Device   Tesla K40c (0)         1        27  [CUDA memcpy HtoD]
66.9472s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        28  [CUDA memcpy HtoD]
66.9473s     896ns                    -               -         -         -         -      128B  136.24MB/s    Pageable      Device   Tesla K40c (0)         1        26  [CUDA memcpy HtoD]
66.9473s  25.024us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        27  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108009]
66.9473s  20.576us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        28  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108043]
66.9473s  16.896us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        26  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [107976]
66.9473s  266.56us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        27  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108030]
66.9474s  362.69us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        28  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108064]
66.9474s     896ns                    -               -         -         -         -      128B  136.24MB/s    Pageable      Device   Tesla K40c (0)         1        29  [CUDA memcpy HtoD]
66.9474s  402.73us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        26  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [107997]
66.9474s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        32  [CUDA memcpy HtoD]
66.9475s  47.905us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        29  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108078]
66.9475s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        30  [CUDA memcpy HtoD]
66.9475s  38.144us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        32  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108189]
66.9475s  22.016us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        30  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108114]
66.9475s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        33  [CUDA memcpy HtoD]
66.9475s  37.664us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        33  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108228]
66.9475s  312.97us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        29  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108099]
66.9475s  265.16us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        32  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108210]
66.9476s  375.43us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        30  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108135]
66.9476s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        31  [CUDA memcpy HtoD]
66.9476s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        27  [CUDA memcpy HtoD]
66.9476s  335.81us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        33  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108249]
66.9477s  25.440us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        31  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108151]
66.9477s  31.776us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        27  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108293]
66.9477s  266.24us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        31  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108172]
66.9477s  389.61us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        27  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108314]
66.9477s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        28  [CUDA memcpy HtoD]
66.9478s  36.993us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        28  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108327]
66.9478s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        26  [CUDA memcpy HtoD]
66.9478s  24.417us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        26  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108260]
66.9478s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        32  [CUDA memcpy HtoD]
66.9478s  43.712us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        32  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108473]
66.9478s  292.26us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        26  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108281]
66.9479s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        29  [CUDA memcpy HtoD]
66.9479s  334.89us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        28  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108348]
66.9479s  36.993us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        29  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108362]
66.9479s  302.53us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        32  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108494]
66.9480s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        30  [CUDA memcpy HtoD]
66.9480s  45.025us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        30  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108398]
66.9480s  410.25us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        29  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108383]
66.9480s  1.4080us                    -               -         -         -         -      128B  86.698MB/s    Pageable      Device   Tesla K40c (0)         1        33  [CUDA memcpy HtoD]
66.9480s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        31  [CUDA memcpy HtoD]
66.9481s  27.521us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        33  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108512]
66.9481s  24.257us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        31  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108435]
66.9481s  309.45us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        30  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108419]
66.9481s  345.77us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        33  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108533]
66.9481s  383.97us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        31  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108456]
66.9481s  1.2160us                    -               -         -         -         -      128B  100.39MB/s    Pageable      Device   Tesla K40c (0)         1        27  [CUDA memcpy HtoD]
66.9482s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        26  [CUDA memcpy HtoD]
66.9482s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        28  [CUDA memcpy HtoD]
66.9482s  37.696us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        27  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108577]
66.9482s  27.360us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        26  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108544]
66.9482s  23.488us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        28  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108611]
66.9483s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        32  [CUDA memcpy HtoD]
66.9483s  11.904us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        32  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108757]
66.9483s  327.21us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        26  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108565]
66.9483s  394.34us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        27  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108598]
66.9483s  299.59us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        28  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108632]
66.9484s  376.61us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        32  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108778]
66.9484s  1.4400us                    -               -         -         -         -      128B  84.771MB/s    Pageable      Device   Tesla K40c (0)         1        30  [CUDA memcpy HtoD]
66.9484s     864ns                    -               -         -         -         -      128B  141.29MB/s    Pageable      Device   Tesla K40c (0)         1        29  [CUDA memcpy HtoD]
66.9485s  37.729us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        30  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108682]
66.9485s  1.4080us                    -               -         -         -         -      128B  86.698MB/s    Pageable      Device   Tesla K40c (0)         1        33  [CUDA memcpy HtoD]
66.9485s  16.640us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        29  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108646]
66.9485s  50.849us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        33  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108796]
66.9485s  253.60us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        29  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108667]
66.9485s  363.85us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        30  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108703]
66.9485s  1.4400us                    -               -         -         -         -      128B  84.771MB/s    Pageable      Device   Tesla K40c (0)         1        31  [CUDA memcpy HtoD]
66.9485s  358.79us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        33  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108817]
66.9486s  1.4400us                    -               -         -         -         -      128B  84.771MB/s    Pageable      Device   Tesla K40c (0)         1        26  [CUDA memcpy HtoD]
66.9486s  47.553us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        31  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108719]
66.9486s     832ns                    -               -         -         -         -      128B  146.72MB/s    Pageable      Device   Tesla K40c (0)         1        28  [CUDA memcpy HtoD]
66.9486s  22.688us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        26  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108828]
66.9486s  33.344us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        28  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108895]
66.9487s  270.24us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        31  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108740]
66.9487s  322.57us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        26  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108849]
66.9487s  1.4090us                    -               -         -         -         -      128B  86.636MB/s    Pageable      Device   Tesla K40c (0)         1        27  [CUDA memcpy HtoD]
66.9487s  66.817us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        27  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108861]
66.9487s  305.32us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        28  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108916]
66.9488s  1.4080us                    -               -         -         -         -      128B  86.698MB/s    Pageable      Device   Tesla K40c (0)         1        29  [CUDA memcpy HtoD]
66.9488s  63.265us              (2 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        29  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [108930]
66.9488s  230.98us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        27  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108882]
66.9489s  200.10us              (4 4 2)       (16 16 1)        32  4.1289KB        0B         -           -           -           -   Tesla K40c (0)         1        29  void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [108951]
66.9491s  21.440us             (4 16 1)        (32 8 1)        62  9.0000KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradWgradOutputParams<float, float>) [108972]
66.9491s  115.11us            (128 1 1)       (128 1 1)         9      512B        0B         -           -           -           -   Tesla K40c (0)         1         7  void calc_bias_diff<int=2, float, float, int=128, int=0>(cudnnTensorStruct, float const *, cudnnTensorStruct, float*, float, float, int) [108992]
66.9493s  11.744us            (288 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [109001]
66.9493s  2.2080us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [109009]
66.9493s  207.75us           (6272 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ [109025]
66.9496s  589.45us            (128 1 1)       (512 1 1)        31      400B        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>(float, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnnTensorStruct, float const *, float, float const , float, cudnnTensorStruct*, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>*, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>) [109064]
66.9502s  2.4010us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [109072]
66.9502s  2.2080us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [109080]
66.9502s  38.369us           (6272 1 1)       (256 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  void scalePackedTensor_kernel<float, float>(cudnnTensor4dStruct, float*, float) [109103]
66.9503s  3.2328ms            (9 196 2)       (16 16 1)        79  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1         7  cudnn_dgrad_sm35_ldg_nt_64x16x64x16x16 [109121]
66.9536s  164.00us            (196 2 1)       (256 1 1)        56  24.125KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>) [109140]
66.9537s  226.98us            (392 2 1)       (256 1 1)        56  16.500KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradDelta4x4<float, float>(cudnn::winograd_nonfused::WinogradDeltaParams<float, float>) [109143]
66.9540s     864ns                    -               -         -         -         -       64B  70.643MB/s    Pageable      Device   Tesla K40c (0)         1        30  [CUDA memcpy HtoD]
66.9540s  3.1680us              (1 4 1)       (256 1 1)        18        0B        0B         -           -           -           -   Tesla K40c (0)         1        30  void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [109300]
